HomePos,0,0,0,-25,24,30,35,-25,24,30,35,0,10,7,0,0,0,0,10,7,0,0,0
Conf1, 9.5638, -6.9225, -4.3701, -3.8588, 16.7693, 22.2371, 46.8496, 2.2191, 61.7477, 29.4277, 46.0326, 20.8465, 4.8229, -6.7231, -2.6949, -10.1740, -4.5835, 4.3278, 20.1807, -16.7372, -11.0329, -0.3643, -4.3376
Conf2, 7.2966, 2.7156, 2.6050, -29.7319, 45.2402, 11.1555, 31.7848, -13.9475, 38.0037, 30.8652, 32.5308, 1.6323, 16.2542, -8.6608, 0.9833, 1.6721, -3.5193, 9.2046, 11.6104, 2.2181, -4.7226, 2.9133, -4.2704
Conf3, 3.9985, -1.5004, 3.8071, -13.7521, 22.3528, 4.9094, 40.7803, -29.9680, 16.5757, 26.2014, 31.8238, -9.9351, 17.0432, -1.9120, -4.6129, 5.8304, 3.4867, 10.4238, 18.3387, 1.1987, -8.4958, -6.6795, 5.2792
Conf4, 8.1744, 2.1392, 4.5458, -17.3360, 41.0438, 5.7496, 42.2814, -18.5598, 25.3356, 14.2838, 37.9120, -2.8795, 11.0077, 8.6734, -8.9868, -3.7278, -1.4901, 15.3335, 9.3329, 12.8721, -2.6542, -6.2802, 1.6038
Conf5, 6.9546, 4.4655, 2.4413, -11.4248, 43.2004, 32.8992, 34.2846, -32.4827, 36.0299, 22.2863, 39.1273, -5.9719, 23.6414, -11.3302, 0.4155, 5.8923, 1.6340, -10.7109, 22.7413, 16.6479, -8.4609, 6.3438, -2.0280
Conf6, 3.6529, 1.3950, 2.9319, -19.6301, 44.5503, 23.3646, 36.5759, -25.2182, 41.3211, 24.8561, 36.2339, 9.9551, 18.9999, 10.8896, -7.1660, -1.0638, 1.4097, 0.1074, 11.2758, -0.7720, -3.0299, 1.2761, -0.8653
Conf7, 5.3282, 0.1861, 0.0587, -10.5820, 28.9384, 36.8544, 35.1515, -17.9708, 42.7730, 28.2663, 37.7407, 13.0388, 7.0926, 11.3337, -5.5973, -3.3661, -1.6686, -4.3643, 7.2943, -7.6627, -7.8661, 0.2493, -0.5330
Conf8, 3.6575, 1.0733, -3.8579, -24.3983, 30.7415, 37.2560, 43.1449, -35.8018, 40.6118, 29.3767, 38.5423, 0.0286, 18.5352, 11.7456, -2.7330, -3.1112, 1.5364, 4.9647, 16.0829, 0.1961, -1.5325, -0.4294, 1.6553
Conf9, 10.5619, 5.5497, 3.0608, -44.1653, 65.2885, 26.4386, 43.3093, -32.8969, 64.0108, 23.9823, 45.8538, -12.2710, 28.1580, 1.2661, -19.7579, 7.5373, 6.0287, -2.8813, 17.4712, 3.6401, -20.6414, 8.3807, 2.5067
Conf10, 13.1706, 4.2838, 4.0907, -41.0392, 49.1225, 4.9791, 30.2069, -37.5494, 52.2830, 39.2092, 47.1281, -8.2517, 6.3214, -0.7372, -10.0863, -4.3570, 2.0828, 12.2367, 14.7892, -5.7760, -3.4286, 3.8849, -4.4979
