0.11586 	54.140
0.24146 	30.484
0.72835 	13.225
3.1835 		4.8712
8.0063 		2.9378
17.729 		2.1220
31.656 		1.7286
63.576 		1.4798
195.96 		1.2686
355.82 		1.1489
892.14 		0.96392
2275.0 		0.88628
5153.9 		0.94387
9182.8 		1.0576
15044		1.1375
30338		1.1579
65492		1.1701
1.0692e+5	1.1745
1.6117e+5	1.1836
1.7631e+5	1.1707
2.1978e+5	1.0622
2.5555e+5	0.98467
2.9326e+5	0.91010
3.2894e+5	0.82734
3.6482e+5	0.72551
3.9076e+5	0.64929
4.2672e+5	0.54677
4.5625e+5	0.45389
4.9047e+5	0.33690
5.0291e+5	0.30226
5.6268e+5	0.30851
6.2817e+5	0.31773
6.8315e+5	0.32820
7.3480e+5	0.33969
8.1056e+5	0.35540
1.0000e+7	0.35540
